;This file was generated by the SoftBox using readall.com
;Identifier is the unique number read from the test image
;All numbers in hexadecimal
;
;CP/M Track, CP/M Sector, Identifier
04,1C,009C
04,1D,009D
04,1E,009E
04,1F,009F
05,00,00A0
05,01,00A1
05,02,00A2
05,03,00A3
05,04,00A4
05,05,00A5
05,06,00A6
05,07,00A7
05,08,00A8
05,09,00A9
05,0A,00AA
05,0B,00AB
05,0C,00AC
05,0D,00AD
05,0E,00AE
05,0F,00AF
05,10,00B0
05,11,00B1
05,12,00B2
05,13,00B3
05,14,00B4
05,15,00B5
05,16,00B6
05,17,00B7
05,18,00B8
05,19,00B9
05,1A,00BA
05,1B,00BB
05,1C,00BC
05,1D,00BD
05,1E,00BE
05,1F,00BF
06,00,00C0
06,01,00C1
06,02,00C2
06,03,00C3
06,04,00C4
06,05,00C5
06,06,00C6
06,07,00C7
06,08,00C8
06,09,00C9
06,0A,00CA
06,0B,00CB
06,0C,00CC
06,0D,00CD
06,0E,00CE
06,0F,00CF
06,10,00D0
06,11,00D1
06,12,00D2
06,13,00D3
06,14,00D4
06,15,00D5
06,16,00D6
06,17,00D7
06,18,00D8
06,19,00D9
06,1A,00DA
06,1B,00DB
06,1C,00DC
06,1D,00DD
06,1E,00DE
06,1F,00DF
07,00,00E0
07,01,00E1
07,02,00E2
07,03,00E3
07,04,00E4
07,05,00E5
07,06,00E6
07,07,00E7
07,08,00E8
07,09,00E9
07,0A,00EA
07,0B,00EB
07,0C,00EC
07,0D,00ED
07,0E,00EE
07,0F,00EF
07,10,00F0
07,11,00F1
07,12,00F2
07,13,00F3
07,14,00F4
07,15,00F5
07,16,00F6
07,17,00F7
07,18,00F8
07,19,00F9
07,1A,00FA
07,1B,00FB
07,1C,00FC
07,1D,00FD
07,1E,00FE
07,1F,00FF
08,00,0100
08,01,0101
08,02,0102
08,03,0103
08,04,0104
08,05,0105
08,06,0106
08,07,0107
08,08,0108
08,09,0109
08,0A,010A
08,0B,010B
08,0C,010C
08,0D,010D
08,0E,010E
08,0F,010F
08,10,0110
08,11,0111
08,12,0112
08,13,0113
08,14,0114
08,15,0115
08,16,0116
08,17,0117
08,18,0118
08,19,0119
08,1A,011A
08,1B,011B
08,1C,011C
08,1D,011D
08,1E,011E
08,1F,011F
09,00,0120
09,01,0121
09,02,0122
09,03,0123
09,04,0124
09,05,0125
09,06,0126
09,07,0127
09,08,0128
09,09,0129
09,0A,012A
09,0B,012B
09,0C,012C
09,0D,012D
09,0E,012E
09,0F,012F
09,10,0130
09,11,0131
09,12,0132
09,13,0133
09,14,0134
09,15,0135
09,16,0136
09,17,0137
09,18,0138
09,19,0139
09,1A,013A
09,1B,013B
09,1C,013C
09,1D,013D
09,1E,013E
09,1F,013F
0A,00,0140
0A,01,0141
0A,02,0142
0A,03,0143
0A,04,0144
0A,05,0145
0A,06,0146
0A,07,0147
0A,08,0148
0A,09,0149
0A,0A,014A
0A,0B,014B
0A,0C,014C
0A,0D,014D
0A,0E,014E
0A,0F,014F
0A,10,0150
0A,11,0151
0A,12,0152
0A,13,0153
0A,14,0154
0A,15,0155
0A,16,0156
0A,17,0157
0A,18,0158
0A,19,0159
0A,1A,015A
0A,1B,015B
0A,1C,015C
0A,1D,015D
0A,1E,015E
0A,1F,015F
0B,00,0160
0B,01,0161
0B,02,0162
0B,03,0163
0B,04,0164
0B,05,0165
0B,06,0166
0B,07,0167
0B,08,0168
0B,09,0169
0B,0A,016A
0B,0B,016B
0B,0C,016C
0B,0D,016D
0B,0E,016E
0B,0F,016F
0B,10,0170
0B,11,0171
0B,12,0172
0B,13,0173
0B,14,0174
0B,15,0175
0B,16,0176
0B,17,0177
0B,18,0178
0B,19,0179
0B,1A,017A
0B,1B,017B
0B,1C,017C
0B,1D,017D
0B,1E,017E
0B,1F,017F
0C,00,0180
0C,01,0181
0C,02,0182
0C,03,0183
0C,04,0184
0C,05,0185
0C,06,0186
0C,07,0187
0C,08,0188
0C,09,0189
0C,0A,018A
0C,0B,018B
0C,0C,018C
0C,0D,018D
0C,0E,018E
0C,0F,018F
0C,10,0190
0C,11,0191
0C,12,0192
0C,13,0193
0C,14,0194
0C,15,0195
0C,16,0196
0C,17,0197
0C,18,0198
0C,19,0199
0C,1A,019A
0C,1B,019B
0C,1C,019C
0C,1D,019D
0C,1E,019E
0C,1F,019F
0D,00,01A0
0D,01,01A1
0D,02,01A2
0D,03,01A3
0D,04,01A4
0D,05,01A5
0D,06,01A6
0D,07,01A7
0D,08,01A8
0D,09,01A9
0D,0A,01AA
0D,0B,01AB
0D,0C,01AC
0D,0D,01AD
0D,0E,01AE
0D,0F,01AF
0D,10,01B0
0D,11,01B1
0D,12,01B2
0D,13,01B3
0D,14,01B4
0D,15,01B5
0D,16,01B6
0D,17,01B7
0D,18,01B8
0D,19,01B9
0D,1A,01BA
0D,1B,01BB
0D,1C,01BC
0D,1D,01BD
0D,1E,01BE
0D,1F,01BF
0E,00,01C0
0E,01,01C1
0E,02,01C2
0E,03,01C3
0E,04,01C4
0E,05,01C5
0E,06,01C6
0E,07,01C7
0E,08,01C8
0E,09,01C9
0E,0A,01CA
0E,0B,01CB
0E,0C,01CC
0E,0D,01CD
0E,0E,01CE
0E,0F,01CF
0E,10,01D0
0E,11,01D1
0E,12,01D2
0E,13,01D3
0E,14,01D4
0E,15,01D5
0E,16,01D6
0E,17,01D7
0E,18,01D8
0E,19,01D9
0E,1A,01DA
0E,1B,01DB
0E,1C,01DC
0E,1D,01DD
0E,1E,01DE
0E,1F,01DF
0F,00,01E0
0F,01,01E1
0F,02,01E2
0F,03,01E3
0F,04,01E4
0F,05,01E5
0F,06,01E6
0F,07,01E7
0F,08,01E8
0F,09,01E9
0F,0A,01EA
0F,0B,01EB
0F,0C,01EC
0F,0D,01ED
0F,0E,01EE
0F,0F,01EF
0F,10,01F0
0F,11,01F1
0F,12,01F2
0F,13,01F3
0F,14,01F4
0F,15,01F5
0F,16,01F6
0F,17,01F7
0F,18,01F8
0F,19,01F9
0F,1A,01FA
0F,1B,01FB
0F,1C,01FC
0F,1D,01FD
0F,1E,01FE
0F,1F,01FF
10,00,0200
10,01,0201
10,02,0202
10,03,0203
10,04,0204
10,05,0205
10,06,0206
10,07,0207
10,08,0208
10,09,0209
10,0A,020A
10,0B,020B
10,0C,020C
10,0D,020D
10,0E,020E
10,0F,020F
10,10,0210
10,11,0211
10,12,0212
10,13,0213
10,14,0214
10,15,0215
10,16,0216
10,17,0217
10,18,0218
10,19,0219
10,1A,021A
10,1B,021B
10,1C,021C
10,1D,021D
10,1E,021E
10,1F,021F
11,00,0220
11,01,0221
11,02,0222
11,03,0223
11,04,0224
11,05,0225
11,06,0226
11,07,0227
11,08,0228
11,09,0229
11,0A,022A
11,0B,022B
11,0C,022C
11,0D,022D
11,0E,022E
11,0F,022F
11,10,0230
11,11,0231
11,12,0232
11,13,0233
11,14,0234
11,15,0235
11,16,0236
11,17,0237
11,18,0238
11,19,0239
11,1A,023A
11,1B,023B
11,1C,023C
11,1D,023D
11,1E,023E
11,1F,023F
12,00,0240
12,01,0241
12,02,0242
12,03,0243
12,04,0244
12,05,0245
12,06,0246
12,07,0247
12,08,0248
12,09,0249
12,0A,024A
12,0B,024B
12,0C,024C
12,0D,024D
12,0E,024E
12,0F,024F
12,10,0250
12,11,0251
12,12,0252
12,13,0253
12,14,0254
12,15,0255
12,16,0256
12,17,0257
12,18,0258
12,19,0259
12,1A,025A
12,1B,025B
12,1C,025C
12,1D,025D
12,1E,025E
12,1F,025F
13,00,0260
13,01,0261
13,02,0262
13,03,0263
13,04,0264
13,05,0265
13,06,0266
13,07,0267
13,08,0268
13,09,0269
13,0A,026A
13,0B,026B
13,0C,026C
13,0D,026D
13,0E,026E
13,0F,026F
13,10,0270
13,11,0271
13,12,0272
13,13,0273
13,14,0274
13,15,0275
13,16,0276
13,17,0277
13,18,0278
13,19,0279
13,1A,027A
13,1B,027B
13,1C,027C
13,1D,027D
13,1E,027E
13,1F,027F
14,00,0280
14,01,0281
14,02,0282
14,03,0283
14,04,0284
14,05,0285
14,06,0286
14,07,0287
14,08,0288
14,09,0289
14,0A,028A
14,0B,028B
14,0C,028C
14,0D,028D
14,0E,028E
14,0F,028F
14,10,0290
14,11,0291
14,12,0292
14,13,0293
14,14,0294
14,15,0295
14,16,0296
14,17,0297
14,18,0298
14,19,0299
14,1A,029A
14,1B,029B
14,1C,029C
14,1D,029D
14,1E,029E
14,1F,029F
15,00,02A0
15,01,02A1
15,02,02A2
15,03,02A3
15,04,02A4
15,05,02A5
15,06,02A6
15,07,02A7
15,08,02A8
15,09,02A9
15,0A,02AA
15,0B,02AB
15,0C,02AC
15,0D,02AD
15,0E,02AE
15,0F,02AF
15,10,02B0
15,11,02B1
15,12,02B2
15,13,02B3
15,14,02B4
15,15,02B5
15,16,02B6
15,17,02B7
15,18,02B8
15,19,02B9
15,1A,02BA
15,1B,02BB
15,1C,02BC
15,1D,02BD
15,1E,02BE
15,1F,02BF
16,00,02C0
16,01,02C1
16,02,02C2
16,03,02C3
16,04,02C4
16,05,02C5
16,06,02C6
16,07,02C7
16,08,02C8
16,09,02C9
16,0A,02CA
16,0B,02CB
16,0C,02CC
16,0D,02CD
16,0E,02CE
16,0F,02CF
16,10,02D0
16,11,02D1
16,12,02D2
16,13,02D3
16,14,02D4
16,15,02D5
16,16,02D6
16,17,02D7
16,18,02D8
16,19,02D9
16,1A,02DA
16,1B,02DB
16,1C,02DC
16,1D,02DD
16,1E,02DE
16,1F,02DF
17,00,02E0
17,01,02E1
17,02,02E2
17,03,02E3
17,04,02E4
17,05,02E5
17,06,02E6
17,07,02E7
17,08,02E8
17,09,02E9
17,0A,02EA
17,0B,02EB
17,0C,02EC
17,0D,02ED
17,0E,02EE
17,0F,02EF
17,10,02F0
17,11,02F1
17,12,02F2
17,13,02F3
17,14,02F4
17,15,02F5
17,16,02F6
17,17,02F7
17,18,02F8
17,19,02F9
17,1A,02FA
17,1B,02FB
17,1C,02FC
17,1D,02FD
17,1E,02FE
17,1F,02FF
18,00,0300
18,01,0301
18,02,0302
18,03,0303
18,04,0304
18,05,0305
18,06,0306
18,07,0307
18,08,0308
18,09,0309
18,0A,030A
18,0B,030B
18,0C,030C
18,0D,030D
18,0E,030E
18,0F,030F
18,10,0310
18,11,0311
18,12,0312
18,13,0313
18,14,0314
18,15,0315
18,16,0316
18,17,0317
18,18,0318
18,19,0319
18,1A,031A
18,1B,031B
18,1C,031C
18,1D,031D
18,1E,031E
18,1F,031F
19,00,0320
19,01,0321
19,02,0322
19,03,0323
19,04,0324
19,05,0325
19,06,0326
19,07,0327
19,08,0328
19,09,0329
19,0A,032A
19,0B,032B
19,0C,032C
19,0D,032D
19,0E,032E
19,0F,032F
19,10,0330
19,11,0331
19,12,0332
19,13,0333
19,14,0334
19,15,0335
19,16,0336
19,17,0337
19,18,0338
19,19,0339
19,1A,033A
19,1B,033B
19,1C,033C
19,1D,033D
19,1E,033E
19,1F,033F
1A,00,0340
1A,01,0341
1A,02,0342
1A,03,0343
1A,04,0344
1A,05,0345
1A,06,0346
1A,07,0347
1A,08,0348
1A,09,0349
1A,0A,034A
1A,0B,034B
1A,0C,034C
1A,0D,034D
1A,0E,034E
1A,0F,034F
1A,10,0350
1A,11,0351
1A,12,0352
1A,13,0353
1A,14,0354
1A,15,0355
1A,16,0356
1A,17,0357
1A,18,0358
1A,19,0359
1A,1A,035A
1A,1B,035B
1A,1C,035C
1A,1D,035D
1A,1E,035E
1A,1F,035F
1B,00,0360
1B,01,0361
1B,02,0362
1B,03,0363
1B,04,0364
1B,05,0365
1B,06,0366
1B,07,0367
1B,08,0368
1B,09,0369
1B,0A,036A
1B,0B,036B
1B,0C,036C
1B,0D,036D
1B,0E,036E
1B,0F,036F
1B,10,0370
1B,11,0371
1B,12,0372
1B,13,0373
1B,14,0374
1B,15,0375
1B,16,0376
1B,17,0377
1B,18,0378
1B,19,0379
1B,1A,037A
1B,1B,037B
1B,1C,037C
1B,1D,037D
1B,1E,037E
1B,1F,037F
1C,00,0380
1C,01,0381
1C,02,0382
1C,03,0383
1C,04,0384
1C,05,0385
1C,06,0386
1C,07,0387
1C,08,0388
1C,09,0389
1C,0A,038A
1C,0B,038B
1C,0C,038C
1C,0D,038D
1C,0E,038E
1C,0F,038F
1C,10,0390
1C,11,0391
1C,12,0392
1C,13,0393
1C,14,0394
1C,15,0395
1C,16,0396
1C,17,0397
1C,18,0398
1C,19,0399
1C,1A,039A
1C,1B,039B
1C,1C,039C
1C,1D,039D
1C,1E,039E
1C,1F,039F
1D,00,03A0
1D,01,03A1
1D,02,03A2
1D,03,03A3
1D,04,03A4
1D,05,03A5
1D,06,03A6
1D,07,03A7
1D,08,03A8
1D,09,03A9
1D,0A,03AA
1D,0B,03AB
1D,0C,03AC
1D,0D,03AD
1D,0E,03AE
1D,0F,03AF
1D,10,03B0
1D,11,03B1
1D,12,03B2
1D,13,03B3
1D,14,03B4
1D,15,03B5
1D,16,03B6
1D,17,03B7
1D,18,03B8
1D,19,03B9
1D,1A,03BA
1D,1B,03BB
1D,1C,03BC
1D,1D,03BD
1D,1E,03BE
1D,1F,03BF
1E,00,03C0
1E,01,03C1
1E,02,03C2
1E,03,03C3
1E,04,03C4
1E,05,03C5
1E,06,03C6
1E,07,03C7
1E,08,03C8
1E,09,03C9
1E,0A,03CA
1E,0B,03CB
1E,0C,03CC
1E,0D,03CD
1E,0E,03CE
1E,0F,03CF
1E,10,03D0
1E,11,03D1
1E,12,03D2
1E,13,03D3
1E,14,03D4
1E,15,03D5
1E,16,03D6
1E,17,03D7
1E,18,03D8
1E,19,03D9
1E,1A,03DA
1E,1B,03DB
1E,1C,03DC
1E,1D,03DD
1E,1E,03DE
1E,1F,03DF
1F,00,03E0
1F,01,03E1
1F,02,03E2
1F,03,03E3
1F,04,03E4
1F,05,03E5
1F,06,03E6
1F,07,03E7
1F,08,03E8
1F,09,03E9
1F,0A,03EA
1F,0B,03EB
1F,0C,03EC
1F,0D,03ED
1F,0E,03EE
1F,0F,03EF
1F,10,03F0
1F,11,03F1
1F,12,03F2
1F,13,03F3
1F,14,03F4
1F,15,03F5
1F,16,03F6
1F,17,03F7
1F,18,03F8
1F,19,03F9
1F,1A,03FA
1F,1B,03FB
1F,1C,03FC
1F,1D,03FD
1F,1E,03FE
1F,1F,03FF
20,00,0400
20,01,0401
20,02,0402
20,03,0403
20,04,0404
20,05,0405
20,06,0406
20,07,0407
20,08,0408
20,09,0409
20,0A,040A
20,0B,040B
20,0C,040C
20,0D,040D
20,0E,040E
20,0F,040F
20,10,0410
20,11,0411
20,12,0412
20,13,0413
20,14,0414
20,15,0415
20,16,0416
20,17,0417
20,18,0418
20,19,0419
20,1A,041A
20,1B,041B
20,1C,041C
20,1D,041D
20,1E,041E
20,1F,041F
21,00,0420
21,01,0421
21,02,0422
21,03,0423
21,04,0424
21,05,0425
21,06,0426
21,07,0427
21,08,0428
21,09,0429
21,0A,042A
21,0B,042B
21,0C,042C
21,0D,042D
21,0E,042E
21,0F,042F
21,10,0430
21,11,0431
21,12,0432
21,13,0433
21,14,0434
21,15,0435
21,16,0436
21,17,0437
21,18,0438
21,19,0439
21,1A,043A
21,1B,043B
21,1C,043C
21,1D,043D
21,1E,043E
21,1F,043F
22,00,0440
22,01,0441
22,02,0442
22,03,0443
22,04,0444
22,05,0445
22,06,0446
22,07,0447
22,08,0448
22,09,0449
22,0A,044A
22,0B,044B
22,0C,044C
22,0D,044D
22,0E,044E
22,0F,044F
22,10,0450
22,11,0451
22,12,0452
22,13,0453
22,14,0454
22,15,0455
22,16,0456
22,17,0457
22,18,0458
22,19,0459
22,1A,045A
22,1B,045B
22,1C,045C
22,1D,045D
22,1E,045E
22,1F,045F
23,00,0460
23,01,0461
23,02,0462
23,03,0463
23,04,0464
23,05,0465
23,06,0466
23,07,0467
23,08,0468
23,09,0469
23,0A,046A
23,0B,046B
23,0C,046C
23,0D,046D
23,0E,046E
23,0F,046F
23,10,0470
23,11,0471
23,12,0472
23,13,0473
23,14,0474
23,15,0475
23,16,0476
23,17,0477
23,18,0478
23,19,0479
23,1A,047A
23,1B,047B
23,1C,047C
23,1D,047D
23,1E,047E
23,1F,047F
24,00,0480
24,01,0481
24,02,0482
24,03,0483
24,04,0484
24,05,0485
24,06,0486
24,07,0487
24,08,0488
24,09,0489
24,0A,048A
24,0B,048B
24,0C,048C
24,0D,048D
24,0E,048E
24,0F,048F
24,10,0490
24,11,0491
24,12,0492
24,13,0493
24,14,0494
24,15,0495
24,16,0496
24,17,0497
24,18,0498
24,19,0499
24,1A,049A
24,1B,049B
24,1C,049C
24,1D,049D
24,1E,049E
24,1F,049F
25,00,04A0
25,01,04A1
25,02,04A2
25,03,04A3
25,04,04A4
25,05,04A5
25,06,04A6
25,07,04A7
25,08,04A8
25,09,04A9
25,0A,04AA
25,0B,04AB
25,0C,04AC
25,0D,04AD
25,0E,04AE
25,0F,04AF
25,10,04B0
25,11,04B1
25,12,04B2
25,13,04B3
25,14,04B4
25,15,04B5
25,16,04B6
25,17,04B7
25,18,04B8
25,19,04B9
25,1A,04BA
25,1B,04BB
25,1C,04BC
25,1D,04BD
25,1E,04BE
25,1F,04BF
26,00,04C0
26,01,04C1
26,02,04C2
26,03,04C3
26,04,04C4
26,05,04C5
26,06,04C6
26,07,04C7
26,08,04C8
26,09,04C9
26,0A,04CA
26,0B,04CB
26,0C,04CC
26,0D,04CD
26,0E,04CE
26,0F,04CF
26,10,04D0
26,11,04D1
26,12,04D2
26,13,04D3
26,14,04D4
26,15,04D5
26,16,04D6
26,17,04D7
26,18,04D8
26,19,04D9
26,1A,04DA
26,1B,04DB
26,1C,04DC
26,1D,04DD
26,1E,04DE
26,1F,04DF
27,00,04E0
27,01,04E1
27,02,04E2
27,03,04E3
27,04,04E4
27,05,04E5
27,06,04E6
27,07,04E7
27,08,04E8
27,09,04E9
27,0A,04EA
27,0B,04EB
27,0C,04EC
27,0D,04ED
27,0E,04EE
27,0F,04EF
27,10,04F0
27,11,04F1
27,12,04F2
27,13,04F3
27,14,04F4
27,15,04F5
27,16,04F6
27,17,04F7
27,18,04F8
27,19,04F9
27,1A,04FA
27,1B,04FB
27,1C,04FC
27,1D,04FD
27,1E,04FE
27,1F,04FF
28,00,0500
28,01,0501
28,02,0502
28,03,0503
28,04,0504
28,05,0505
28,06,0506
28,07,0507
28,08,0508
28,09,0509
28,0A,050A
28,0B,050B
28,0C,050C
28,0D,050D
28,0E,050E
28,0F,050F
28,10,0510
28,11,0511
28,12,0512
28,13,0513
28,14,0514
28,15,0515
28,16,0516
28,17,0517
28,18,0518
28,19,0519
28,1A,051A
28,1B,051B
28,1C,051C
28,1D,051D
28,1E,051E
28,1F,051F
29,00,0520
29,01,0521
29,02,0522
29,03,0523
29,04,0524
29,05,0525
29,06,0526
29,07,0527
29,08,0528
29,09,0529
29,0A,052A
29,0B,052B
29,0C,052C
29,0D,052D
29,0E,052E
29,0F,052F
29,10,0530
29,11,0531
29,12,0532
29,13,0533
29,14,0534
29,15,0535
29,16,0536
29,17,0537
29,18,0538
29,19,0539
29,1A,053A
29,1B,053B
29,1C,053C
29,1D,053D
29,1E,053E
29,1F,053F
2A,00,0540
2A,01,0541
2A,02,0542
2A,03,0543
2A,04,0544
2A,05,0545
2A,06,0546
2A,07,0547
2A,08,0548
2A,09,0549
2A,0A,054A
2A,0B,054B
2A,0C,054C
2A,0D,054D
2A,0E,054E
2A,0F,054F
2A,10,0550
2A,11,0551
2A,12,0552
2A,13,0553
2A,14,0554
2A,15,0555
2A,16,0556
2A,17,0557
2A,18,0558
2A,19,0559
2A,1A,055A
2A,1B,055B
2A,1C,055C
2A,1D,055D
2A,1E,055E
2A,1F,055F
2B,00,0560
2B,01,0561
2B,02,0562
2B,03,0563
2B,04,0564
2B,05,0565
2B,06,0566
2B,07,0567
2B,08,0568
2B,09,0569
2B,0A,056A
2B,0B,056B
2B,0C,056C
2B,0D,056D
2B,0E,056E
2B,0F,056F
2B,10,0570
2B,11,0571
2B,12,0572
2B,13,0573
2B,14,0574
2B,15,0575
2B,16,0576
2B,17,0577
2B,18,0578
2B,19,0579
2B,1A,057A
2B,1B,057B
2B,1C,057C
2B,1D,057D
2B,1E,057E
2B,1F,057F
2C,00,0580
2C,01,0581
2C,02,0582
2C,03,0583
2C,04,0584
2C,05,0585
2C,06,0586
2C,07,0587
2C,08,0588
2C,09,0589
2C,0A,058A
2C,0B,058B
2C,0C,058C
2C,0D,058D
2C,0E,058E
2C,0F,058F
2C,10,0590
2C,11,0591
2C,12,0592
2C,13,0593
2C,14,0594
2C,15,0595
2C,16,0596
2C,17,0597
2C,18,0598
2C,19,0599
2C,1A,059A
2C,1B,059B
2C,1C,059C
2C,1D,059D
2C,1E,059E
2C,1F,059F
2D,00,05A0
2D,01,05A1
2D,02,05A2
2D,03,05A3
2D,04,05A4
2D,05,05A5
2D,06,05A6
2D,07,05A7
2D,08,05A8
2D,09,05A9
2D,0A,05AA
2D,0B,05AB
2D,0C,05AC
2D,0D,05AD
2D,0E,05AE
2D,0F,05AF
2D,10,05B0
2D,11,05B1
2D,12,05B2
2D,13,05B3
2D,14,05B4
2D,15,05B5
2D,16,05B6
2D,17,05B7
2D,18,05B8
2D,19,05B9
2D,1A,05BA
2D,1B,05BB
2D,1C,05BC
2D,1D,05BD
2D,1E,05BE
2D,1F,05BF
2E,00,05C0
2E,01,05C1
2E,02,05C2
2E,03,05C3
2E,04,05C4
2E,05,05C5
2E,06,05C6
2E,07,05C7
2E,08,05C8
2E,09,05C9
2E,0A,05CA
2E,0B,05CB
2E,0C,05CC
2E,0D,05CD
2E,0E,05CE
2E,0F,05CF
2E,10,05D0
2E,11,05D1
2E,12,05D2
2E,13,05D3
2E,14,05D4
2E,15,05D5
2E,16,05D6
2E,17,05D7
2E,18,05D8
2E,19,05D9
2E,1A,05DA
2E,1B,05DB
2E,1C,05DC
2E,1D,05DD
2E,1E,05DE
2E,1F,05DF
2F,00,05E0
2F,01,05E1
2F,02,05E2
2F,03,05E3
2F,04,05E4
2F,05,05E5
2F,06,05E6
2F,07,05E7
2F,08,05E8
2F,09,05E9
2F,0A,05EA
2F,0B,05EB
2F,0C,05EC
2F,0D,05ED
2F,0E,05EE
2F,0F,05EF
2F,10,05F0
2F,11,05F1
2F,12,05F2
2F,13,05F3
2F,14,05F4
2F,15,05F5
2F,16,05F6
2F,17,05F7
2F,18,05F8
2F,19,05F9
2F,1A,05FA
2F,1B,05FB
2F,1C,05FC
2F,1D,05FD
2F,1E,05FE
2F,1F,05FF
30,00,0600
30,01,0601
30,02,0602
30,03,0603
30,04,0604
30,05,0605
30,06,0606
30,07,0607
30,08,0608
30,09,0609
30,0A,060A
30,0B,060B
30,0C,060C
30,0D,060D
30,0E,060E
30,0F,060F
30,10,0610
30,11,0611
30,12,0612
30,13,0613
30,14,0614
30,15,0615
30,16,0616
30,17,0617
30,18,0618
30,19,0619
30,1A,061A
30,1B,061B
30,1C,061C
30,1D,061D
30,1E,061E
30,1F,061F
31,00,0620
31,01,0621
31,02,0622
31,03,0623
31,04,0624
31,05,0625
31,06,0626
31,07,0627
31,08,0628
31,09,0629
31,0A,062A
31,0B,062B
31,0C,062C
31,0D,062D
31,0E,062E
31,0F,062F
31,10,0630
31,11,0631
31,12,0632
31,13,0633
31,14,0634
31,15,0635
31,16,0636
31,17,0637
31,18,0638
31,19,0639
31,1A,063A
31,1B,063B
31,1C,063C
31,1D,063D
31,1E,063E
31,1F,063F
32,00,0640
32,01,0641
32,02,0642
32,03,0643
32,04,0644
32,05,0645
32,06,0646
32,07,0647
32,08,0648
32,09,0649
32,0A,064A
32,0B,064B
32,0C,064C
32,0D,064D
32,0E,064E
32,0F,064F
32,10,0650
32,11,0651
32,12,0652
32,13,0653
32,14,0654
32,15,0655
32,16,0656
32,17,0657
32,18,0658
32,19,0659
32,1A,065A
32,1B,065B
32,1C,065C
32,1D,065D
32,1E,065E
32,1F,065F
33,00,0660
33,01,0661
33,02,0662
33,03,0663
33,04,0664
33,05,0665
33,06,0666
33,07,0667
33,08,0668
33,09,0669
33,0A,066A
33,0B,066B
33,0C,066C
33,0D,066D
33,0E,066E
33,0F,066F
33,10,0670
33,11,0671
33,12,0672
33,13,0673
33,14,0674
33,15,0675
33,16,0676
33,17,0677
33,18,0678
33,19,0679
33,1A,067A
33,1B,067B
33,1C,067C
33,1D,067D
33,1E,067E
33,1F,067F
34,00,0680
34,01,0681
34,02,0682
34,03,0683
34,04,0684
34,05,0685
34,06,0686
34,07,0687
34,08,0688
34,09,0689
34,0A,068A
34,0B,068B
34,0C,068C
34,0D,068D
34,0E,068E
34,0F,068F
34,10,0690
34,11,0691
34,12,0692
34,13,0693
34,14,0694
34,15,0695
34,16,0696
34,17,0697
34,18,0698
34,19,0699
34,1A,069A
34,1B,069B
34,1C,069C
34,1D,069D
34,1E,069E
34,1F,069F
35,00,06A0
35,01,06A1
35,02,06A2
35,03,06A3
35,04,06A4
35,05,06A5
35,06,06A6
35,07,06A7
35,08,06A8
35,09,06A9
35,0A,06AA
35,0B,06AB
35,0C,06AC
35,0D,06AD
35,0E,06AE
35,0F,06AF
35,10,06B0
35,11,06B1
35,12,06B2
35,13,06B3
35,14,06B4
35,15,06B5
35,16,06B6
35,17,06B7
